source,target
WOS:000279731700007,"[Anonymous], 2006, ENVISIONING INFORM"
WOS:000279731700007,"[Anonymous], BOARD GOVERNORS FEDE"
WOS:000279731700007,"DECAMPO A, 2007, P 2007 INT C AUD DIS"
WOS:000279731700007,"Dowling W.J., 1986, MUSIC COGNITION"
WOS:000279731700007,"FERGUSON S, GENETIC SONIFICATION"
WOS:000279731700007,"GAYER WW, 1989, HUMAN COMPUTER INTER, V4, P67"
WOS:000279731700007,"HERMANN T, 1999, INT I ADV STUDIES SY, P189"
WOS:000279731700007,"MacKAY D.J. C., 2004, Information Theory, Inference, and Learning Algorithms"
WOS:000279731700007,"MCCARTNEY J, 1996, P 1996 INT COMP MUS"
WOS:000279731700007,"PETERSON Gordon E., 1952, J ACOUST SOC AM, V24, P75"
WOS:000279731700007,"POLLACK I, 1953, J ACOUST SOC AM, V25, P765, DOI 10.1121/1.1907173"
WOS:000279731700007,"Pynchon Thomas., 1973, Gravity's Rainbow"
WOS:000279731700007,"RAMAKRISHNAN C, ENTROPY SONIFICATION"
WOS:000279731700007,"RASKIN J, 2007, HUMANE INTERFACE"
WOS:000279731700007,"Roads C., 2004, Microsound"
WOS:000279731700007,"Shannon C., 1949, MATH THEORY INFORM"
WOS:000279731700007,"SMITH DR, 2002, P 2002 INT C AUD DIS"
WOS:000279731700007,"TRONDLE M, EMOTION"
WOS:000279731700007,"Tufte E.R., 2007, The Visual Display of Quantitative Information"
WOS:000279731700007,"Tufte EdwardR., 2005, Visual Explanations"
WOS:000279731700007,"VONSYDOW B, 2008, MONO BI TRIGRAM FREQ"
WOS:000279731700007,"*WIK CONTR, 2008, TED SPREAD WIK FREE"
WOS:000365063100009,"Bach DR, 2008, CEREB CORTEX, V18, P145, DOI 10.1093/cercor/bhm040"
WOS:000365063100009,"Barrass S., 1996, Organised Sound, V1, P125"
WOS:000365063100009,"Blattner M. M., 1994, P 18 SFI STUD SCI CO, P447"
WOS:000365063100009,"Bregman AS, 1994, AUDITORY SCENE ANAL"
WOS:000365063100009,"Damasio AR, 1996, PHILOS T R SOC B, V351, P1413, DOI 10.1098/rstb.1996.0125"
WOS:000365063100009,"Degara N, 2014, 2014 IEEE VR WORKSHOP: SONIC INTERACTION IN VIRTUAL ENVIRONMENTS (SIVE), P35, DOI 10.1109/SIVE.2014.7006288"
WOS:000365063100009,"DeWitt A, 2007, LECT NOTES COMPUT SC, V4738, P523"
WOS:000365063100009,"Hermann T., 2011, SONIFICATION HDB"
